    ,Text,Classificacao
1,Minhas dores mentais estão externando em dores físicas. #depressão #fibromialgia,Negativo
2,Sem objetivos definidos somos dominados pela sensação de trabalhar muito para nada!,Negativo
3,"Definir uma meta clara, ver o presente ao invés de ficar preso ao passado, encontrar uma razão de viver faz a vida ser plena e direcionada ao atingimento de metas. #depressão #metas #concursos",Positivo
4,"#Depressão é coisa séria. Busque ajuda, procure tratamento. Existem pessoas que entendem o que você está passando. Você não está sozinho",Neutro
5,"Quando as coisas não andam bem na minha cabeça, elas não andam bem em lugar nenhum. ",Negativo
6,"Depressão é uma doença exaustiva, toma tempo e energia.Depressão elimina os sonhos, destrói os projetos e acaba com a qualidade de vida.",Neutro
7,"Dói tanto, tanto, o mundo fica vazio e sem cor, a gente se sente só, a dor não passa, os pensamentos suicidas estão 24 horas na mente",Negativo
8,As pessoas não levam a sério a #depressão  e não acreditam até o suicídio acontecer (infelizmente),Negativo
9,queria cometer #suicidio,Negativo
10,Quais dessas devo escolher? #suicidio,Negativo
11,n aguento mais #suicidio,Negativo
12,"O suicídio muitas vezes é um tabu, contudo há necessidade do tema ser discutido, principalmente entre pessoas próximas as que sofrem de algum transtorno emocional.",Neutro
13,Conquiste seu sonho e tenha saúde para vivê-lo.,Positivo
14,Não desista antes de parar para pensar e respirar. Às vezes é preciso só descansar.,Positivo
15,"São 03:18 da manhã, e eu estou com uma pura crise não consigo parar de chorar. Queria conversar pedir ajuda mas não tem ninguém, é sempre aquela história conta comigo pra tudo estou com você pra tudo. Mas no final Eu estou sozinha é só eu e eu mesmo",Negativo
16,PSOL vai questionar aumento de vereadores e prefeito de BH na Justiça - Politica - Estado de Minas,Negativo     
17,bandido bom é bandido morto,Negativo     
18,"""A gigantesca barba do mal"" em destaque no caderno Cultura do Estado de Minas.",Neutro
19,"""BB e governo de Minas travam disputa sobre depósitos judiciais""",Negativo     
20,"""Daí a gente visita governador valadares""
""Que lugar é esse mãe?""
""MG, a gente tem uns parente la""

MANO onde q eu NÃO tenho parente    ",Neutro
21,É bonita e é bonita...,Positivo
22,"""erro desconhecido"" é mato! Aliás, é da secretaria estadual de fazenda que tá assim... MG não precisa de dinheiro não, Governador?           ",Negativo     
23,"""La La Land: Cantando Estações"" arrasa no Globo de Ouro",Positivo
24,"""Mesmo sem muito dinheiro no caixa o governo de Minas Gerais compra 2 (DOIS) helicópteros."" Dois... Helicópteros... Minas Gerais... #2017 s1 ",Negativo     
25,"""Modelo de segurança será o nosso legado"", diz Cláudio Beato - Politica - Estado de Minas https://t.co/1MqOJo7Nnf                            ",Neutro
26,"""O governo federal publicou no dia 27 de dezembro de 2016, a Medida Provisória 764/16 que permite a diferenciação... https://t.co/0DlDpZ9WGz  ",Neutro
27,"""Polícia Federal acaba de divulgar que encontrou provas no apartamento do Lula, mas só até a 4ª série."" Jornal Estado de Minas               ",Neutro
28,"""Praia da Estação"" lota neste sábado de verão em BH - Gerais - Estado de Minas https://t.co/DpG3CNfZBb                                       ",Neutro
29,"""Representando mais uma ferramenta de monitoramento da educação da rede estadual em Minas, a Secretaria de Estado... https://t.co/brsfBqHXlQ  ",Neutro
30,"""uso de aeronave pertencente ao  Estado de MG, em domingo, p/ fins pessoais,  em claro desvio de finalidade"" - https://t.co/WEfv5iLyju       ",Negativo     
31,#Alerta - Nome da CEEE é utilizado em golpe no Estado. https://t.co/i5ndsWhXR4 https://t.co/yaEM6s3Z2f                                           ,Negativo     
32,Afiliada da Globo: Apresentador no AM é demitido após criticar governador… https://t.co/hlH8ITxXig                            ,Neutro
33,Caos nos presídios: AM pede apoio à União seis dias após massacre https://t.co/GRv0HkrX3T… https://t.co/YJy2RcSfWZ            ,Neutro
34,Caos nos presídios: Temer e Cármen Lúcia se reúnem para debater crise https://t.co/e34RNvtU7v… https://t.co/8xKwPTOv4C        ,Neutro
35,Crise carcerária: Governo de Roraima pede Força Nacional a Temer https://t.co/wLslS1T6ZI… https://t.co/NK4c5IhNUg             ,Neutro
36,Crise carcerária: Secretário de SP diz haver guerra de facções no país https://t.co/RSf2Tk1VmX… https://t.co/Sonel0f8Xq       ,Neutro
37,Crise política no DF se agrava: Rollemberg exonera vice-governador de cargo… https://t.co/idJfAELeW4 #timbeta ##brasil     ,Neutro
38,Escalada de violência nos presídios: AM pede apoio da Força Nacional;… https://t.co/ysX8TXSm50… https://t.co/NAly4Uxb5h       ,Neutro
39,Escalada de violência: Crime organizado no Brasil é disputado por 27… https://t.co/loRe3EfGaF… https://t.co/sSY5liKfMl        ,Neutro
40,"Estado afirma não ter sido notificado: Apesar de decisão judicial, reajuste…… https://t.co/IMG9Vxs4nK                       ",Neutro
41,"Estado de espírito do paulistano: ""Voz"" do trânsito, buzina reflete pressa,…… https://t.co/hvLy03lyt3                     ",Neutro
42,Estados falidos: Parte do PMDB quer barrar vetos de Temer na negociação de…… https://t.co/h9KQvBYlYV                          ,Neutro
43,Ex-ministro e outros: Servidores da era PT se mantêm em cargos estratégicos… https://t.co/Q2Nor97ngg #timbeta ##brasil     ,Neutro
44,Ex-presidente da Câmara: Justiça suíça vê 'indícios concretos' contra… https://t.co/fwuwi8S4oD… https://t.co/w1W2SaN172       ,Neutro
45,Mais sobre o massacre: PF: Facção tinha 'cela de comando' dentro da prisão… https://t.co/W3Cr89L0dk                           ,Neutro
46,Marketing e veto a medidas de Paes: De doação de sangue a capoeira: a 1ª…… https://t.co/xPnt6omym6                            ,Neutro
47,Massacre em presídio de Manaus: Governo do AM rebate ministro da Justiça e… https://t.co/MaBb4airMU #timbeta ##brasil      ,Neutro
48,Mudanças propostas pelo governo: Reforma libera trabalhar 12 horas alguns…… https://t.co/eIDgx5Ak3n                           ,Neutro
49,"Muitas páginas de investigação: ""QG"" da Lava Jato reúne mais de 30 milhões…… https://t.co/pQF48BKPMr                      ",Neutro
50,"Nos últimos dois anos: Governo pagou R$ 2,4 bi a alvos da Lava Jato https://t.co/KN8C0LcReb… https://t.co/GDQVhjO1Hc        ",Neutro
51,"Nova chacina em presídio: PCC matou presos sem facção, diz governo de RR https://t.co/e17QVKbWVV… https://t.co/HJinQ9Y8aT   ",Neutro
52,Onda de violência nos presídios: Governo de Roraima divulga lista oficial…… https://t.co/HLcGf3UtCx                           ,Neutro
53,Pede respeito aos direitos dos detentos: Defensoria Pública da União vai ao…… https://t.co/kKbLNKRXfi                         ,Neutro
54,Pedido ao STF irritou Meirelles: Governo ameaça suspender aval para… https://t.co/cHJbFIKAOY… https://t.co/uSTdKS5mCn         ,Neutro
55,Reforma no poder da Venezuela: Maduro nomeia novo vice-presidente e troca…… https://t.co/BPMWBODUM2                           ,Neutro
56,"Revista encontra armas e drogas: Rifle, 42 facas e roteador são achados em…… https://t.co/TlIOyQeKb0                        ",Neutro
57,Rio reforçou Operação Praia: Sábado de calor tem confusão e roubo nas… https://t.co/TwU41FTyfq… https://t.co/fSPlWFWWVo       ,Neutro
58,Segundo agentes penitenciários: Presídios do RJ estão em alerta desde… https://t.co/jODEM3J6Y4… https://t.co/gLMfJEuCNS       ,Neutro
59,'Tinha que matar mais': Secretário de Temer deixa cargo após dizer que… https://t.co/ZZm1TCutjz… https://t.co/OoJJ3GcokW      ,Neutro
60,UOL Confere a crise prisional: Gestão privada de presídio não exime… https://t.co/dj5fy2PIwi… https://t.co/wCmH4Qhxt7         ,Neutro
61,UOL Confere: Governo Temer distorce dados econômicos em propaganda de 120…… https://t.co/w4dzb3AgfT                           ,Neutro
62,#brasilmetropole Saúde mantém estado de atenção e investiga casos de febre amarela https://t.co/HAq4OMqMJK                                       ,Neutro
63,"#Cidades Com a alta incidência, a Secretaria de Estado de Saúde mantém alerta para moradores e visitantes de 15... https://t.co/qsntM0quLy     ",Neutro
64,#COPINHANAREDEVIDA  Eu e meu pai ligado na copinha pela Rede Vida! SOMOS DE GOVERNADOR VALADARES MG                                              ,Neutro
65,"#DefesaAgropecuária ""Governo de Minas Gerais aposta nos Arranjos Produtivos Locais"" na #RITDA: https://t.co/FzwaAJbcsw                       ",Positivo
66,#EBC Governo de Minas investiga casos suspeitos de febre amarela e malária no estado https://t.co/SQIpvlLbvY                                     ,Positivo
67,#EducaçãoMG Governo de Minas Gerais reconhece Folias de Reis como Patrimônio Imaterial do Estado.… https://t.co/YvVFinjaLL                       ,Neutro
68,#ForçaMichael O atacante Michael sofreu um traumatismo craniano após colidir com uma vaca em Minas e está em estado… https://t.co/dja4NqF1ZD     ,Neutro
69,"#holachilevierneschico jajaja los wns preparados, nada al azar #califa las minas abran estado tan buenas,como para haber asumido el riesgo?    ",Neutro
70,#i5gornascimento @i5gornascimento @cristiano UFJF abre 62 vagas para cursos em Governador Valadares https://t.co/NnA9YFp4BP                      ,Neutro
71,"#i5gornascimento @i5gornascimento g1 Corpo em estado de decomposição é encontrado em Poços de Caldas, MG https://t.co/ndVVD6kdly               ",Neutro
72,#i5gornascimento @i5gornascimento g1 Vereadores de Governador Valadares não terão 13º salário em 2017 https://t.co/9dJnmDxEAI                    ,Neutro
73,#i5gornascimento @i5gornascimento Governador Valadares registra dois assassinatos em menos de uma hora https://t.co/ZcuZugp8dq                   ,Neutro
74,#i5gornascimento @i5gornascimento UFJF abre 62 vagas para cursos em Governador Valadares https://t.co/FYeEFvieCy                                 ,Neutro
75,"#ImpeachmentPimentel #PTNuncaMais
Mesmo em calamidade financeira, governo de MG compra mais dois helicópteros https://t.co/rcLSmbvdoH          ",Neutro
76,"#ImpeachmentPimentel #PTNuncaMais #ForaPT #ForaPCdoB #ForaPSOL #ForaRede
https://t.co/0RRGhWdmdB                                               ",Neutro
77,"#Janeiro, #PartiuFerias, GOVERNADOR VALADARES/MG, Pousada Vale Silvestre EcoPark, Comprar: https://t.co/rNRqRFbUeM… https://t.co/2UyZ6Ojdp7    ",Neutro
78,"#jornaldacultura
Por Favor comentem a compra de dois helicópteros pelo governo de Minas Gerais e o uso do Helicópteros por Pimentel            ",Neutro
79,#METADEdoBRASILpertenceaosPOLÍTICOSaoutraédosBANCOSeEMPRESÁRIOS  Politica - Estado de Minas https://t.co/usvOMucmuq                              ,Neutro
80,#Microsoft  #lumia galera hj descobrir que aqui n estado do rio de janeiro n tem autorizada .(S.PAULO E MINAS ) NAO COMPREI WINDOWS PHONE        ,Neutro
81,#Mídia:  Press Release from Business Wire : Consumer Technology ... - Estado de Minas https://t.co/FGoxtwksdM                                    ,Neutro
82,#Mídia:  Press Release from Business Wire : Digital Living Network Alliance - Estado de Minas https://t.co/wj7wMchv8S                            ,Neutro
83,#Mídia:  Press Release from Business Wire : IBC - Estado de Minas https://t.co/Uy5QuJo8wx                                                        ,Neutro
84,#MINAS Postos dos Sine oferecem mais de 1.500 vagas de emprego no estado https://t.co/ZTrZ8MGrRp #Trabalho #Emprego #MG #Oportunidades           ,Neutro
85,"#Minas vai dobrar oferta de trabalho e estudo nos #presídios do Estado
https://t.co/CC6gpVFTCX                                                 ",Positivo
86,"#Minas vai dobrar oferta de trabalho e estudo nos #presídios do Estado
https://t.co/UxfPtAKxte                                                 ",Positivo
87,#Mortalidade por câncer cai 25% em 25 anos nos Estados Unidos - Estado de Minas https://t.co/fsZg1D8WCL                                          ,Neutro
88,#musicagratis Fundação Hospitalar do Estado de Minas Gerais (FHEMIG): A Fundação Hospitalar…… https://t.co/JXxZCenikX                            ,Neutro
89,#musicagratis Ministério Público de Minas Gerais (Araxá): O Ministério Público do Estado de…… https://t.co/4WqHRHwxOg                            ,Neutro
90,"#musicagratis Prefeitura de Rodeiro: A Prefeitura de Rodeiro, no Estado de Minas Gerais,… https://t.co/kdGlkcQKcG… https://t.co/NyF4ZQiZqm     ",Neutro
91,"#noticiasdorenan Em calamidade financeira, governo de MG compra dois helicópteros: O… https://t.co/oW6G9hElta                                  ",Negativo     
92,#noticiasdorenan Governo de Minas Gerais reconhece Folias de Reis como Patrimônio Imaterial… https://t.co/AL18Rr45X3                             ,Neutro
93,#noticiasdorenan Uso de depósitos judiciais pelo governo tem nova polêmica em MG: O Banco… https://t.co/kHuZpKQaj5                               ,Negativo     
94,#OperacaoBetaLab #TimBeta   AjudaBeta SegueBeta UOL: Desastre ambiental em MG: Empresas ped… https://t.co/kwyeKjhtcI      ,Neutro
95,#OperacaoBetaLab #TimBeta   AjudaBeta SegueBeta UOL: Governo em calamidade financeira: BB a… https://t.co/1rWaHUACqt      ,Neutro
96,#OperacaoBetaLab #TimBeta   AjudaBeta SegueBeta UOL: Polêmica com filho de Pimentel: Govern… https://t.co/E1EhSA9Ti3      ,Neutro
97,#operacaobetalab BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/W6AoFMMsvA ##sdv                          ,Negativo     
98,#PedroMotta visita as memórias da infância na série #FrutosEstranhos da exposição #EstadodaNatureza � Visite:… https://t.co/Fti430VnjI           ,Neutro
99,"#petralha no governo é isso ai! Mesmo em calamidade financeira, governo de MG compra mais dois helicópteros https://t.co/ZR9N6Gl0KW            ",Negativo     
100,#pmdb #pt #tj #tjmg #almg #psdb #pdt O FILHO ACHOU O OUTRO VELHO Em calamidade financeira MG compra 2 helicópteros https://t.co/SXfamLNCqd       ,Negativo     
101,#pré_hospitalar homem estado alterado de consciência dificuldade respiratória pressão elevada em supermercado no b são benedito av brasilia      ,Neutro
102,"#pt #pmdb #pdt #tj #tjmg #stf #almg #pp MAIS UMA DELE ... #BB cobra de Minas R$ 1,5 bilhão em depósitos judiciais https://t.co/yPWflY0U5f      ",Negativo     
103,"#road #trip #mg #car #gopro @ Governador Valadares, Minas Gerais https://t.co/v6LZ557K6d                                                       ",Neutro
104,"#SomosTodosMoro

Presidente do STJ mantém preso ex-subsecretário da gestão Kassab - Politica - Estado de Minas https://t.co/ybrMKDnZ7Z         ",Neutro
105,"#Supercluster #Oracle (@ Secretaria de Estado da Fazenda in Belo Horizonte, MG) https://t.co/Raj2oJz8tq                                        ",Neutro
106,#SUS Minas Gerais recebe recurso máximo disponibilizado pelo Governo Federal para ações da #VigilânciaSanitária… https://t.co/0OrT7R8gMO         ,Positivo
107,#SUS SES-MG convoca coletiva para falar da situação da #FebreAmarela no estado @SaudeMG @GotasSalvadoras https://t.co/TEydsKsvnB                 ,Neutro
108,#SUS SES-MG convoca coletiva para falar da situação da #FebreAmarela no estado https://t.co/7RwhYPH1Oz https://t.co/lfICLTfvxZ                   ,Neutro
109,"#timbeta #globo Após ser agredida, mulher atira contra homem em Governador Valadares https://t.co/LSQcIK1ugn #OperacaoBetaLab #Sigodevolta     ",Neutro
110,#timbeta #globo BB cobra restituição de recursos por parte do governo de MG; estado afirma que instituição criou 'artifício contábil' …          ,Negativo     
111,"#timbeta #globo Corpo em estado de decomposição é encontrado em Poços de Caldas, MG https://t.co/QIT9YlYMog #OperacaoBetaLab #Sigodevolta      ",Neutro
112,#timbeta #globo Defesa Civil de MG confirma 16ª morte pela chuva no estado https://t.co/SYMRdMAXFX #OperacaoBetaLab #Sigodevolta                 ,Neutro
113,#timbeta #globo Governador Valadares registra dois assassinatos em menos de uma hora https://t.co/888hGlseNv #OperacaoBetaLab #Sigodevolta       ,Neutro
114,#timbeta #globo Homem é morto a tiros após deixar presídio em Governador Valadares https://t.co/ecLiHQp1VR #OperacaoBetaLab #Sigodevolta         ,Neutro
115,#timbeta #globo MG é o quarto estado a garantir o direito à amamentação em público https://t.co/sCrrQLncHs #OperacaoBetaLab #Sigodevolta         ,Neutro
116,#timbeta #globo PM apreende armas usadas em homicídio em Governador Valadares https://t.co/YEFA0XEdKB #OperacaoBetaLab #Sigodevolta              ,Neutro
117,#timbeta #globo Polícia Militar apreende 30 kg de maconha em Governador Valadares https://t.co/eK1qMAUL36 #OperacaoBetaLab #Sigodevolta          ,Neutro
118,#timbeta #globo Prefeito de Aimorés decreta estado de emergência administrativa https://t.co/0Z7GX9GBPM #OperacaoBetaLab #Sigodevolta            ,Negativo     
119,#timbeta #globo Prefeito de Ribeirão das Neves decreta estado de calamidade financeira https://t.co/cyvkfwwslD #OperacaoBetaLab #Sigodevol…      ,Negativo     
120,#timbeta #globo Prefeitura de Uberlândia decreta estado de calamidade financeira  https://t.co/whTppNXDOk #OperacaoBetaLab #Sigodevolta          ,Negativo     
121,#timbeta #globo UFJF abre 62 vagas para cursos em Governador Valadares https://t.co/Fd8uVtW5bm #OperacaoBetaLab #Sigodevolta                     ,Neutro
122,#timbeta #globo Vereadores de Governador Valadares não terão 13º salário em 2017 https://t.co/YA3HKtxvza #OperacaoBetaLab #Sigodevolta           ,Neutro
123,"@__MathLaham @1psicopatar @samuelcost4 não sabia que o Estado de Minas existia em 1926, amigo...E detalhe:isso só apareceu depois de 2011 rs   ",Neutro
124,@_pereiraclayton em Minas ta seu cu kkkkkk estou no mesmo estado q você palhaço ��                                                               ,Neutro
125,@1chathais Também não acreditei. O Estado de Minas pulicou que estão estudando implantar uma unidade                                             ,Negativo     
126,@50Rosanaborges @folha @UOL já é o pior governador da história de Minas.                                                                         ,Negativo     
127,"@a_alinediniz parabéns vc emplacou o release no estadão,  folha,  o globo,  isto é e Veja. Na próxima vez consiga SPTV,  Estado de Minas...    ",Neutro
128,"@AcordouAcordou Minas está linda, recheada de mineiros e mineiras gente boa, o problema é o governo de MG.                                     ",Negativo     
129,"@AdemirAlvim @pdevechi Estado de Minas melhorando a manchete tb... só não falou que eram negros, mas mencionou a motivação política.           ",Neutro
130,"@AL_Kaio_ acho que não 4 de SP, 4 do RJ, 3 de MG, 3 do RS, e 3 do ES! Todos se enfrentavam e o melhor de cada estado passava pras semis        ",Neutro
