 ,Text,Classificacao
1,@OdeCarvalho: 2) tentarão ao menos engessar o próximo governo para que só possa fazer o que eles querem que ele faça. ,Neutro
2,@OdeCarvalho: 4) ou pelo menos deslegitimar antecipadamente o seu governo. ,Neutro
3,@OdeCarvalho: COM CERTEZA o governo Obama tentará impedir a posse do Trump. A história dos hackers russos é só um preparativo. ,Neutro
4,"@ofalador125: Com o pai preso,filhos de Eduardo Cunha curtem a via adoidado neste verão(Jornal estado de minas)Preocupados né ? https:/… ",Neutro
5,"@ofalador125: Com o pai preso,filhos de Eduardo Cunha curtem a via adoidado neste verão(Jornal estado de minas)Preocupados né ? https:/… ",Neutro
6,@ofalador125: Governo de Minas deveria pedir a Istoé que apresente documentos que comprovem a manchete helicópteros de Pimentel.Ô gente… ,Negativo 
7,@ofalador125: 'Jeitinho Kalil': novo prefeito de BH almoça de marmitex e elimina traje formal - Politica - Estado de Minas https://t.co/… ,Positivo
8,"@oficialmchariel: Fui parar em contagem, estado de minas e dahora ",Neutro
#VALUE!,"@oldairt: @azeredo_mg @STF_oficial @MichelTemer Justamente isso, morreu bandido é indenizado, enquanto isso os inocentes estão sem aparo… ",Neutro
#VALUE!,"@oldairt: Rio e Minas Pensei que estivessem em crise ""Governo de Minas Gerais compra mais dois helicópteros"" - https://t.co/1HSg2dGCSZ ",Negativo 
#VALUE!,@olelias: @GPronaldo13 Com um GOVERNADOR desse! Qualquer CORRUPTO vai querer ser CANDIDATO EM MG! Até as FACÇÕES do lula BÊBADO ,Negativo 
#VALUE!,@olelias: Governador de MG uma VERGONHA NACIONAL e cara-de-pau @GPronaldo13 @New_Delia @neusamandrade @LeilaneNeubarth @carlastrass @let… ,Negativo 
#VALUE!,"@OmarionSpfc: @GilzanaCarvalho SP é realmente fascinante,tem vários contrastes,mas Minas é um estado bom tbm...alias o Brasil é um Belo… ",Neutro
#VALUE!,@OperadoresBr: Bando do Brasil avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/NZ7XdK1dur https://t.co/k… ,Negativo 
#VALUE!,@OperadoresBr: BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/iXnxV8f9Nm ,Negativo 
#VALUE!,@OrganizadAntiPT: BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/Z7DIppD0ha ,Negativo 
#VALUE!,"@OrganizadAntiPT: Mesmo em calamidade financeira, governo de MG compra mais dois helicópteros https://t.co/LRYdAvckNg via @UOLNoticias @… ",Negativo 
#VALUE!,"@OrganizadAntiPT: Mesmo em calamidade financeira, governo de MG compra mais dois helicópteros https://t.co/LRYdAvckNg via @UOLNoticias @… ",Negativo 
#VALUE!,"@OSul_noticias: Governador de Minas, que usou helicóptero para buscar seu filho em uma festa, quer comprar mais dois ... - https://t.co… ",Negativo 
#VALUE!,"@OSul_noticias: Governador de Minas, que usou helicóptero para buscar seu filho em uma festa, quer comprar mais dois ... - https://t.co… ",Negativo 
#VALUE!,@otempo: Folias de Minas são reconhecidas como bens imateriais do Estado https://t.co/1PtRoxbH5Y https://t.co/vaouKR508m ,Neutro
#VALUE!,"@pablovillaca: Peraí. Fernando Pimentel (governador das minhas Minas Gerais) foi buscar o filho com helicóptero do estado?!

Que exemplo… ",Negativo 
#VALUE!,"@pablovillaca: Pimentel, governador de MG (e eleito pelo PT), disse que a lei permite o uso do helicóptero.

Olha, pode até ser, mas a É… ",Negativo 
#VALUE!,"@palaciodasartes: Videoinstalações, cinema e desenhos estão entre as obras que integram a exposição #EstadodeSítio de #EderSantos Veja h… ",Neutro
#VALUE!,@Pami_px: @o_antagonista Esse homem ainda esta solto? Obrigada STF obrigada Assemleia legislativa do Estado vcs fazem mto pelo País e po… ,Negativo 
